Nome Cliente,E-mail Cliente,Telefone,Cidade,Estado,Núm Pedido,Produto(s) do Pedido,Ref.,Qtd,Total sem frete,Frete,Total com frete,Opção de Pagamento,Cartão,Status,Feito em,Obs curta,Entregue Em,Objeto SEDEX,Desconto cupom,Cód. Barras,Celular
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115000,"Filmadora MiniDV SC-D381/XAZ","FD00003",1,"3036.00","13.30","3049.30","Depósito bancário","-","Novo",18/12/2013 16:39:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115001,"Balança Digital Virgo","BL00005",1,"431.60","13.30","444.90","Depósito bancário","-","Novo",18/12/2013 17:36:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115002,"Marine Pack MPK-WB","AC00001",1,"2796.00","13.30","2809.30","Depósito bancário","-","Novo",10/02/2014 17:34:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115003,"Filtro polarizadorplic'plic -25CPK","AC00004",1,"796.00","13.30","809.30","Contra-entrega","-","Novo",11/02/2014 11:37:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115004,"Marine Pack MPK-WB","AC00001",1,"2796.00","13.30","2809.30","Contra-entrega","-","Novo",11/02/2014 15:00:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115005,"Filtro polarizadorplic'plic -25CPK","AC00004",1,"796.00","13.30","809.30","Contra-entrega","-","Novo",11/02/2014 16:16:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115006,"Filtro polarizadorplic'plic -25CPK","AC00004",1,"796.00","34.00","830.00","Contra-entrega","-","Novo",12/02/2014 18:26:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115007,"100 Coisas para fazer antes de morrer","AJ00002",1,"9908.00","34.00","9942.00","Contra-entrega","-","Novo",12/02/2014 20:01:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115007,"10 Decisoes inteligentes","AJ00001",1,"9908.00","34.00","9942.00","Contra-entrega","-","Novo",12/02/2014 20:01:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115007,"Filtro polarizadorplic'plic -25CPK","AC00004",1,"9908.00","34.00","9942.00","Contra-entrega","-","Novo",12/02/2014 20:01:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115007,"HTC TyTNII Windows","CL00006",1,"9908.00","34.00","9942.00","Contra-entrega","-","Novo",12/02/2014 20:01:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115008,"Segredos da Mente Milionária, Os","AD00003",4,"1111.60","34.00","1145.60","Contra-entrega","-","Novo",12/02/2014 20:11:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115008,"Cabo Conexão Serial Treo 59897","CA00001",1,"1111.60","34.00","1145.60","Contra-entrega","-","Novo",12/02/2014 20:11:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115009,"Barbeador Elétrico HQ 6920/16 Bivolt","BB00001",1,"796.00","34.00","830.00","Contra-entrega","-","Novo",13/02/2014 13:31:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115010,"Cartão de Memória Micro SD 1GB","CR00001",1,"219.60","34.00","253.60","Contra-entrega","-","Novo",13/02/2014 14:10:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115011,"TV 29'' Tela Plana Slim com Entrada USB","TP00003",1,"16832.00","34.00","16866.00","Contra-entrega","-","Novo",13/02/2014 18:21:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115011,"Mesa Digitalizadora Gráfica Intuos3 9x12","MZ00001",1,"16832.00","34.00","16866.00","Contra-entrega","-","Novo",13/02/2014 18:21:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115012,"Filmadora MiniDV SC-D381/XAZ","FD00003",1,"3036.00","34.00","3070.00","Contra-entrega","-","Novo",01/07/2014 16:17:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115013,"VT10 c/ Id. de Chamadas","TS00003",1,"4252.00","34.00","4286.00","Contra-entrega","-","Novo",01/07/2014 19:26:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115013,"48 Leis do Poder, As","AJ00003",1,"4252.00","34.00","4286.00","Contra-entrega","-","Novo",01/07/2014 19:26:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115013,"Monitor LCD 19'' SyncMaster 932BW","MT00001",1,"4252.00","34.00","4286.00","Contra-entrega","-","Novo",01/07/2014 19:26:00,,,,0,,"31911112222"
"Teste FastCommerce","teste@fastcommerce.com.br","1122222222","São Paulo","SP",115014,"Câmera Digital Optio E20 6.0MP","DC00003",1,"1596.00","34.00","1630.00","Contra-entrega","-","Novo",17/07/2014 13:38:00,,,,0,,"31911112222"
